"","feature","meanImp","medianImp","minImp","maxImp","normHits","decision","rank"
"1","Streptococcus_anginosus",21.6812428631341,21.686565132844,18.4085980133622,24.1390262142006,1,"Confirmed",1
"2","Streptococcus_gordonii",13.5864291561078,13.565846736369,11.4105049344394,15.991454534462,1,"Confirmed",4
"3","Streptococcus_oralis",13.7590577407046,13.7455139394236,11.6145095999837,15.9104395499243,1,"Confirmed",3
"4","Streptococcus_infantis",10.0189655922835,10.0679850239977,8.25614757666276,12.2647555576348,1,"Confirmed",5
"5","Bifidobacterium_dentium",17.0959302508215,17.1459829377246,14.2736266992342,19.3361208528484,1,"Confirmed",2
"6","Granulicatella_adiacens",7.59894841352394,7.7360787890209,5.48217344458228,9.0862588046671,0.994974874371859,"Confirmed",7
"7","Streptococcus_mitis",9.14587150327923,9.14748671336501,7.04485728920579,11.4730261806583,1,"Confirmed",6
"8","Streptococcus_constellatus",6.42033190160028,6.47631157475837,4.24460149676669,8.56826502171674,0.979899497487437,"Confirmed",10
"9","Streptococcus_cristatus",2.80255981359454,2.80842092602532,0.236506662619634,5.12609971438863,0.482412060301508,"Tentative",19
"10","Ligilactobacillus_salivarius",4.45461192009207,4.45216438690267,2.03877275865152,7.28419750274961,0.809045226130653,"Confirmed",12
"11","Limosilactobacillus_oris",6.87982740016867,6.92233597249781,4.63815276518,9.20444655085175,0.989949748743719,"Confirmed",8
"12","Fusicatenibacter_saccharivorans",6.56068266006912,6.58243456303052,4.4668968568942,9.26204263409181,0.979899497487437,"Confirmed",9
"13","Rothia_SGB49305",4.09889165217931,4.13254749282038,1.91978546958979,5.90748685619307,0.798994974874372,"Confirmed",14
"14","Lancefieldella_parvula",2.62467476839889,2.63859109015366,0.330710723785446,5.03033693913435,0.412060301507538,"Tentative",20
"15","Limosilactobacillus_vaginalis",4.40989896419699,4.40031803565582,2.35362312988014,6.26555307546238,0.834170854271357,"Confirmed",13
"16","Streptococcus_vestibularis",3.76132829808397,3.80585901317753,1.05581078035675,6.27549603582071,0.723618090452261,"Confirmed",16
"17","Phascolarctobacterium_faecium",3.86437149224194,3.86904764286579,1.03057001718653,6.62718447716839,0.763819095477387,"Confirmed",15
"18","Phascolarctobacterium_succinatutens",1.81254322042487,1.8693896320858,-0.287986130541082,4.11543117669994,0.0351758793969849,"Rejected",23
"19","Anaerostipes_hadrus",3.63005241746837,3.59581630341994,1.03503370948324,6.85653814089264,0.673366834170854,"Confirmed",17
"20","Lactobacillus_gasseri",5.34166620299151,5.36963871821114,3.00108637373506,8.1465244902376,0.944723618090452,"Confirmed",11
"21","Actinomyces_oris",1.8751803231557,2.06464084412491,-0.292496126575489,3.14193302469044,0.0251256281407035,"Rejected",22
"22","Mogibacterium_diversum",0.682778607487407,1.04558299986043,-1.72305453320151,2.51762254368985,0.0050251256281407,"Rejected",26
"23","Limosilactobacillus_fermentum",2.4459593431144,2.4773822550484,-0.648385339941858,5.00419604248022,0.231155778894472,"Rejected",21
"24","Segatella_sinensis",0.306027102530699,0.232718569923963,-1.64911854626198,2.66894255283452,0.0201005025125628,"Rejected",28
"25","Bacteroides_ovatus",0.778020442905508,0.798114195746562,-1.03326282785324,2.87257774813219,0.0050251256281407,"Rejected",27
"26","GGB9708_SGB15234",3.23701345414242,3.23991012669847,0.330165318353677,6.68311588773945,0.633165829145729,"Tentative",18
"27","Peptostreptococcus_SGB749",1.67591846792895,1.64094016445886,-0.234959670815311,3.13775980259907,0.0201005025125628,"Rejected",25
"28","Clostridium_sp_AT4",1.80476263125165,1.83866057449469,-1.19496623850016,4.46786492515477,0.110552763819095,"Rejected",24
